web-scraper-order,web-scraper-start-url,brand_raw,year_raw,km_raw,ps_raw,place_raw,price_raw,modell_raw,gear_raw,fuel_raw
"1671628590-151,""https://www.autolina.ch/carList/page/50?region=ZH"",""BMW"",""null"",""10"",""285"",""8008 Zürich / ZH"",""99'800"",""X5 48V 30d M Sport Steptronic"",""Automat"",""Mild-Hybrid Diesel/Elektro"""
"1671628590-152,""https://www.autolina.ch/carList/page/50?region=ZH"",""SKODA"",""null"",""100"",""110"",""8610 Uster / ZH"",""27'990"",""FABIA Style"",""Handschaltung"",""Benzin"""
"1671628590-153,""https://www.autolina.ch/carList/page/50?region=ZH"",""MERCEDES-BENZ"",""2015"",""93'500"",""333"",""8317 Tagelswangen / ZH"",""29'999"",""C 400 Avantgarde 4Matic 7G-Tronic / TOP AUSSTATTUNG / STANDH"",""Automat"",""Benzin"""
"1671628590-154,""https://www.autolina.ch/carList/page/50?region=ZH"",""TOYOTA"",""2010"",""90'100"",""90"",""8903 Birmensdorf / ZH"",""7'800"",""UrbanCruiser 1.4 D-4D Linea Luna 4WD"",""Handschaltung"",""Diesel"""
"1671628590-155,""https://www.autolina.ch/carList/page/50?region=ZH"",""BMW"",""2017"",""84'700"",""190"",""8317 Tagelswangen / ZH"",""24'500"",""320d Touring Steptronic /HEAD-UP / NAVI / ELEKTR. HECKKLAPPE"",""Automat"",""Diesel"""
"1671628590-156,""https://www.autolina.ch/carList/page/50?region=ZH"",""VOLVO"",""2018"",""86'006"",""250"",""8317 Tagelswangen / ZH"",""37'500"",""XC60 T5 AWD Inscription Geartronic / TOP ZUSTAND AUS 1. HAND"",""Automat"",""Benzin"""
"1671628590-157,""https://www.autolina.ch/carList/page/50?region=ZH"",""SEAT"",""2016"",""89'579"",""180"",""8317 Tagelswangen / ZH"",""17'500"",""Leon 1.8 TSI FR Line / SEHR GEPFLEGTES AUTO IN TOP ZUSTAND /"",""Handschaltung"",""Benzin"""
"1671628590-158,""https://www.autolina.ch/carList/page/50?region=ZH"",""TOYOTA"",""2013"",""41'000"",""101"",""8903 Birmensdorf / ZH"",""13'800"",""Yaris 1.5 VVT-i Hybrid Sol CVT"",""Automat"",""Voll-Hybrid Benzin/Elektro"""
"1671628590-159,""https://www.autolina.ch/carList/page/50?region=ZH"",""OPEL"",""2005"",""192'000"",""101"",""8903 Birmensdorf / ZH"",""2'900"",""Meriva 1.6i 16V Enjoy"",""Handschaltung"",""Benzin"""
"1671628590-160,""https://www.autolina.ch/carList/page/50?region=ZH"",""TOYOTA"",""2016"",""62'900"",""197"",""8903 Birmensdorf / ZH"",""28'800"",""RAV-4 2.5 HSD Sol Premium e-CVT"",""Automat"",""Voll-Hybrid Benzin/Elektro"""
"1671628590-161,""https://www.autolina.ch/carList/page/50?region=ZH"",""TOYOTA"",""2022"",""18"",""150"",""8903 Birmensdorf / ZH"",""42'730"",""Hilux 2.4D-4D Comfort Extra Cab 4x4"",""Handschaltung"",""Diesel"""
"1671628590-162,""https://www.autolina.ch/carList/page/50?region=ZH"",""VOLVO"",""2015"",""162'317"",""220"",""8245 Feuerthalen / ZH"",""20'935"",""V60 2.4 D6 TE Summum Pl.Hyb."",""Automat"",""grau"""
"1671628590-163,""https://www.autolina.ch/carList/page/50?region=ZH"",""VOLVO"",""null"",""5"",""250"",""8245 Feuerthalen / ZH"",""83'099"",""V90 Cross Country 2.0 B5 Plus AWD"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628590-164,""https://www.autolina.ch/carList/page/50?region=ZH"",""VOLVO"",""2022"",""479"",""250"",""8245 Feuerthalen / ZH"",""67'196"",""XC60 2.0 B5 MH R-Design AWD"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628590-165,""https://www.autolina.ch/carList/page/50?region=ZH"",""VOLVO"",""2022"",""365"",""310"",""8245 Feuerthalen / ZH"",""89'981"",""XC60 2.0 T8 TE R-Design eAWD"",""Automat"",""Plug-in-Hybrid Benzin/Elektro"""
"1671628593-166,""https://www.autolina.ch/carList/page/49?region=ZH"",""BMW"",""2014"",""79'400"",""143"",""8604 Volketswil / ZH"",""20'900"",""X1 18d Steptronic M Sport"",""Automat"",""Diesel"""
"1671628593-167,""https://www.autolina.ch/carList/page/49?region=ZH"",""MERCEDES-BENZ"",""2011"",""118'400"",""306"",""8604 Volketswil / ZH"",""18'900"",""E 350 CGI BlueEfficiency 7G-Tronic"",""Automat"",""Benzin"""
"1671628593-168,""https://www.autolina.ch/carList/page/49?region=ZH"",""AUDI"",""2011"",""111'400"",""211"",""8604 Volketswil / ZH"",""17'900"",""Q3 2.0 TFSI quattro S-tronic"",""Automat"",""Benzin"""
"1671628593-169,""https://www.autolina.ch/carList/page/49?region=ZH"",""VW"",""2022"",""6'000"",""299"",""8406 Winterthur / ZH"",""66'900"",""ID.4 GTX"",""Automat"",""Elektro"""
"1671628593-170,""https://www.autolina.ch/carList/page/49?region=ZH"",""VW"",""2013"",""79'500"",""150"",""8340 Hinwil / ZH"",""18'500"",""Golf 2.0 TDI Highline DSG"",""Automat"",""Diesel"""
"1671628593-171,""https://www.autolina.ch/carList/page/49?region=ZH"",""AUDI"",""2012"",""122'600"",""170"",""8340 Hinwil / ZH"",""18'500"",""Q5 2.0 TDI quattro S-tronic **S-LINE**"",""Automat"",""Diesel"""
"1671628593-172,""https://www.autolina.ch/carList/page/49?region=ZH"",""DS AUTOMOBILES"",""2014"",""77'800"",""120"",""8340 Hinwil / ZH"",""8'999"",""DS4 1.6 VTi SO Chic"",""Handschaltung"",""Benzin"""
"1671628593-173,""https://www.autolina.ch/carList/page/49?region=ZH"",""VW"",""2017"",""93'300"",""150"",""8340 Hinwil / ZH"",""23'900"",""Tiguan 1.4TSI ACT Swiss Line 4Motion DSG"",""Automat"",""Benzin"""
"1671628593-174,""https://www.autolina.ch/carList/page/49?region=ZH"",""BMW"",""2014"",""99'400"",""245"",""8340 Hinwil / ZH"",""26'900"",""428i Gran Coupé Luxury Line Steptronic"",""Automat"",""Benzin"""
"1671628593-175,""https://www.autolina.ch/carList/page/49?region=ZH"",""OPEL"",""2013"",""88'000"",""140"",""8340 Hinwil / ZH"",""13'500"",""Mokka 1.4i 16V Turbo Cosmo 4WD"",""Handschaltung"",""Benzin"""
"1671628593-176,""https://www.autolina.ch/carList/page/49?region=ZH"",""VW"",""2016"",""69'700"",""110"",""8340 Hinwil / ZH"",""18'900"",""Golf 1.4 TGI BlueMotion Allstar DSG"",""Automat"",""Erdgas (CNG) / Benzin"""
"1671628593-177,""https://www.autolina.ch/carList/page/49?region=ZH"",""AUDI"",""2014"",""90'300"",""150"",""8340 Hinwil / ZH"",""18'500"",""A3 Sportback 2.0 TDI Ambition quattro"",""Handschaltung"",""Diesel"""
"1671628593-178,""https://www.autolina.ch/carList/page/49?region=ZH"",""LAND ROVER"",""2015"",""121'800"",""241"",""8340 Hinwil / ZH"",""23'900"",""Discovery Sport 2.0 Si4 HSE AT9"",""Automat"",""Benzin"""
"1671628593-179,""https://www.autolina.ch/carList/page/49?region=ZH"",""MAZDA"",""2015"",""131'136"",""160"",""8820 Wädenswil / ZH"",""17'987"",""CX-5 SG160 AWD AT Amb 5 Navi"",""Automat"",""Benzin"""
"1671628593-180,""https://www.autolina.ch/carList/page/49?region=ZH"",""BMW"",""null"",""20"",""374"",""8008 Zürich / ZH"",""87'800"",""M440i 48V Cabriolet Steptronic"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628597-181,""https://www.autolina.ch/carList/page/48?region=ZH"",""HYUNDAI"",""2017"",""108'000"",""141"",""8618 Oetwil am See / ZH"",""17'900"",""i40 Wagon 1.7 CRDI Vertex Automatic"",""Automat"",""Diesel"""
"1671628597-182,""https://www.autolina.ch/carList/page/48?region=ZH"",""ALFA ROMEO"",""2016"",""129'000"",""180"",""8618 Oetwil am See / ZH"",""21'900"",""Giulia 2.2 JTDM Super Automatic"",""Automat"",""Diesel"""
"1671628597-183,""https://www.autolina.ch/carList/page/48?region=ZH"",""VW"",""null"",""15"",""200"",""8406 Winterthur / ZH"",""84'900"",""Passat Variant Alltrack"",""Automat"",""Diesel"""
