web-scraper-order,web-scraper-start-url,brand_raw,year_raw,km_raw,ps_raw,place_raw,price_raw
"1671226171-1","https://www.autolina.ch/carList/page/10?region=ZH","ALFA ROMEO","2015","2'300","241","8408 Winterthur / ZH","109'900"
"1671226171-2","https://www.autolina.ch/carList/page/10?region=ZH","SKODA","2021","7'000","110","8712 Stäfa / ZH","29'450"
"1671226171-3","https://www.autolina.ch/carList/page/10?region=ZH","ALFA ROMEO","2021","22'927","281","8408 Winterthur / ZH","55'790"
"1671226171-4","https://www.autolina.ch/carList/page/10?region=ZH","ALFA ROMEO","2021","21'700","281","8408 Winterthur / ZH","53'790"
"1671226171-5","https://www.autolina.ch/carList/page/10?region=ZH","ALFA ROMEO","2021","26'000","281","8408 Winterthur / ZH","53'790"
"1671226171-6","https://www.autolina.ch/carList/page/10?region=ZH","RENAULT","2021","19'800","91","8152 Glattpark (Opfikon) / ZH","19'580"
"1671226171-7","https://www.autolina.ch/carList/page/10?region=ZH","VW","2022","3'200","110","8304 Wallisellen / ZH","29'999"
"1671226171-8","https://www.autolina.ch/carList/page/10?region=ZH","BMW","1988","197'850","129","8247 Flurlingen / ZH","17'870"
"1671226171-9","https://www.autolina.ch/carList/page/10?region=ZH","LAND ROVER","2012","169'000","256","8196 Wil / ZH","19'990"
"1671226171-10","https://www.autolina.ch/carList/page/10?region=ZH","RENAULT","2020","47'400","160","8152 Glattpark (Opfikon) / ZH","23'900"
"1671226171-11","https://www.autolina.ch/carList/page/10?region=ZH","VW","2019","50'500","300","8048 Zürich / ZH","33'500"
"1671226171-12","https://www.autolina.ch/carList/page/10?region=ZH","SKODA","2022","3'000","200","8712 Stäfa / ZH","59'990"
"1671226171-13","https://www.autolina.ch/carList/page/10?region=ZH","SKODA","2022","3'000","190","8712 Stäfa / ZH","50'750"
"1671226171-14","https://www.autolina.ch/carList/page/10?region=ZH","SKODA","2022","5'000","280","8712 Stäfa / ZH","57'750"
"1671226171-15","https://www.autolina.ch/carList/page/10?region=ZH","VW","2021","9'000","319","8712 Stäfa / ZH","55'995"
"1671226175-16","https://www.autolina.ch/carList/page/9?region=ZH","SKODA","2022","3'000","150","8712 Stäfa / ZH","33'750"
"1671226175-17","https://www.autolina.ch/carList/page/9?region=ZH","RENAULT","2017","115'800","177","8152 Glattpark (Opfikon) / ZH","21'990"
"1671226175-18","https://www.autolina.ch/carList/page/9?region=ZH","VW","2015","249'000","150","1203 Genève / ZH","11'500"
"1671226175-19","https://www.autolina.ch/carList/page/9?region=ZH","AUDI","2010","120'000","350","3422 Kirchberg / ZH","21'000"
"1671226175-20","https://www.autolina.ch/carList/page/9?region=ZH","PORSCHE","2009","111'500","295","8247 Flurlingen / ZH","27'640"
"1671226175-21","https://www.autolina.ch/carList/page/9?region=ZH","BMW","2014","83'500","245","8706 Meilen / ZH","27'900"
"1671226175-22","https://www.autolina.ch/carList/page/9?region=ZH","VW","2012","123'000","380","8103 Unterengstringen / ZH","26'500"
"1671226175-23","https://www.autolina.ch/carList/page/9?region=ZH","FORD","1960","0","223","8488 Turbenthal / ZH","60'000"
"1671226175-24","https://www.autolina.ch/carList/page/9?region=ZH","HONDA","2022","1'000","131","8424 Embrach / ZH","38'530"
"1671226175-25","https://www.autolina.ch/carList/page/9?region=ZH","CITROEN","null","25","110","8424 Embrach / ZH","27'900"
"1671226175-26","https://www.autolina.ch/carList/page/9?region=ZH","CITROEN","null","25","110","8424 Embrach / ZH","28'690"
"1671226175-27","https://www.autolina.ch/carList/page/9?region=ZH","HONDA","null","25","184","8424 Embrach / ZH","49'900"
"1671226175-28","https://www.autolina.ch/carList/page/9?region=ZH","PEUGEOT","2021","250","130","8424 Embrach / ZH","39'900"
"1671226175-29","https://www.autolina.ch/carList/page/9?region=ZH","PEUGEOT","2022","100","136","8424 Embrach / ZH","30'900"
"1671226175-30","https://www.autolina.ch/carList/page/9?region=ZH","ALFA ROMEO","2020","38'830","510","8408 Winterthur / ZH","72'890"
"1671226180-31","https://www.autolina.ch/carList/page/8?region=ZH","AUDI","2016","102'000","190","8196 Wil / ZH","21'500"
"1671226180-32","https://www.autolina.ch/carList/page/8?region=ZH","VW","2015","122'000","300","8545 Rickenbach / ZH","29'000"
"1671226180-33","https://www.autolina.ch/carList/page/8?region=ZH","SKODA","2021","7'000","150","8712 Stäfa / ZH","36'450"
"1671226180-34","https://www.autolina.ch/carList/page/8?region=ZH","AUDI","2021","9'800","204","8706 Feldmeilen / ZH","54'800"
"1671226180-35","https://www.autolina.ch/carList/page/8?region=ZH","AUDI","2022","8'200","344","8706 Feldmeilen / ZH","95'800"
"1671226180-36","https://www.autolina.ch/carList/page/8?region=ZH","AUDI","2021","13'200","245","8706 Feldmeilen / ZH","53'500"
"1671226180-37","https://www.autolina.ch/carList/page/8?region=ZH","VW","2020","181'000","140","8196 Wil / ZH","27'900"
"1671226180-38","https://www.autolina.ch/carList/page/8?region=ZH","NISSAN","2021","13'200","117","8152 Glattpark (Opfikon) / ZH","20'990"
"1671226180-39","https://www.autolina.ch/carList/page/8?region=ZH","BMW","1997","181'000","193","8047 Zürich / ZH","8'500"
"1671226180-40","https://www.autolina.ch/carList/page/8?region=ZH","NISSAN","2021","15'900","158","8152 Glattpark (Opfikon) / ZH","32'540"
"1671226180-41","https://www.autolina.ch/carList/page/8?region=ZH","SKODA","2020","60'000","239","8712 Stäfa / ZH","44'900"
"1671226180-42","https://www.autolina.ch/carList/page/8?region=ZH","RENAULT","2021","9'700","185","8152 Glattpark (Opfikon) / ZH","37'770"
"1671226180-43","https://www.autolina.ch/carList/page/8?region=ZH","ALFA ROMEO","null","160","null","8408 Winterthur / ZH","47'690"
"1671226180-44","https://www.autolina.ch/carList/page/8?region=ZH","ALFA ROMEO","null","161","null","8408 Winterthur / ZH","49'700"
"1671226180-45","https://www.autolina.ch/carList/page/8?region=ZH","FIAT","2022","5","71","8408 Winterthur / ZH","20'680"
"1671226183-46","https://www.autolina.ch/carList/page/7?region=ZH","ALFA ROMEO","null","161","null","8408 Winterthur / ZH","45'890"
"1671226183-47","https://www.autolina.ch/carList/page/7?region=ZH","FIAT","2021","15'000","70","8408 Winterthur / ZH","19'880"
"1671226183-48","https://www.autolina.ch/carList/page/7?region=ZH","VOLVO","2019","40'500","326","8055 Zürich / ZH","49'900"
"1671226183-49","https://www.autolina.ch/carList/page/7?region=ZH","AUDI","2021","7'600","265","8706 Feldmeilen / ZH","69'950"
"1671226183-50","https://www.autolina.ch/carList/page/7?region=ZH","KIA","2019","115'689","204","8122 Binz / ZH","21'000"
"1671226183-51","https://www.autolina.ch/carList/page/7?region=ZH","MINI","2014","39'700","211","8636 Wald / ZH","25'500"
"1671226183-52","https://www.autolina.ch/carList/page/7?region=ZH","AUDI","2004","245'000","274","8412 Hünikon / ZH","10'000"
"1671226183-53","https://www.autolina.ch/carList/page/7?region=ZH","MERCEDES-BENZ","2019","31'336","306","8155 Niederhasli / ZH","52'000"
"1671226183-54","https://www.autolina.ch/carList/page/7?region=ZH","BMW","2021","27'500","150","8712 Stäfa / ZH","35'795"
"1671226183-55","https://www.autolina.ch/carList/page/7?region=ZH","HYUNDAI","2019","28'900","67","8304 Wallisellen / ZH","14'890"
"1671226183-56","https://www.autolina.ch/carList/page/7?region=ZH","RENAULT","2022","200","82","8152 Glattpark (Opfikon) / ZH","22'940"
"1671226183-57","https://www.autolina.ch/carList/page/7?region=ZH","AUDI","2021","24'500","344","8052 Zürich / ZH","89'990"
"1671226183-58","https://www.autolina.ch/carList/page/7?region=ZH","JAGUAR","1999","196'500","284","8006 Zürich / ZH","15'900"
"1671226183-59","https://www.autolina.ch/carList/page/7?region=ZH","MERCEDES-BENZ","2011","80'300","204","8102 Oberengstringen / ZH","25'800"
"1671226183-60","https://www.autolina.ch/carList/page/7?region=ZH","BMW","2021","56'500","510","8712 Stäfa / ZH","78'595"
"1671226187-61","https://www.autolina.ch/carList/page/6?region=ZH","ALFA ROMEO","2011","167'900","235","8340 Hinwil / ZH","9'100"
"1671226187-62","https://www.autolina.ch/carList/page/6?region=ZH","MERCEDES-BENZ","2020","16'000","421","8712 Stäfa / ZH","69'595"
"1671226187-63","https://www.autolina.ch/carList/page/6?region=ZH","MINI","2018","80'668","192","8053 Zürich / ZH","23'950"
"1671226187-64","https://www.autolina.ch/carList/page/6?region=ZH","MERCEDES-BENZ","2013","99'600","163","8308 Illnau / ZH","29'900"
"1671226187-65","https://www.autolina.ch/carList/page/6?region=ZH","MERCEDES-BENZ","2016","47'750","510","8600 Dübendorf / ZH","99'750"
"1671226187-66","https://www.autolina.ch/carList/page/6?region=ZH","AUDI","2021","9'900","299","8706 Feldmeilen / ZH","79'200"
"1671226187-67","https://www.autolina.ch/carList/page/6?region=ZH","MERCEDES-BENZ","2018","142'600","136","8114 Dänikon / ZH","44'900"
